#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 05 08 00 999 99.0 99.0  1.75 14.29 10.01 239 9999.0   9.9  12.1 999.0 99.0 99.00
2022 01 05 08 30 999 99.0 99.0  1.75 14.29 10.23 235 9999.0 999.0  12.1 999.0 99.0 99.00
2022 01 05 09 00 999 99.0 99.0  1.97 15.38 10.73 238 9999.0   9.5  12.1 999.0 99.0 99.00
2022 01 05 09 30 999 99.0 99.0  1.78 15.38 10.19 236 9999.0   9.8  12.1 999.0 99.0 99.00
2022 01 05 10 00 999 99.0 99.0  1.83 13.33  9.89 240 9999.0   9.6  12.1 999.0 99.0 99.00
2022 01 05 10 30 999 99.0 99.0  1.65 14.29  9.82 240 9999.0   9.5  12.1 999.0 99.0 99.00
2022 01 05 11 00 999 99.0 99.0  1.61 15.38  9.76 234 9999.0   9.4  12.1 999.0 99.0 99.00
2022 01 05 11 30 999 99.0 99.0  1.67 12.50  9.88 242 9999.0   9.4  12.1 999.0 99.0 99.00
2022 01 05 12 00 999 99.0 99.0  1.63 14.29  9.59 242 9999.0   9.5  12.1 999.0 99.0 99.00
2022 01 05 12 30 999 99.0 99.0  1.59 13.33  9.57 237 9999.0   9.5  12.1 999.0 99.0 99.00
2022 01 05 13 00 999 99.0 99.0  1.61 14.29  9.99 237 9999.0   9.5  11.9 999.0 99.0 99.00
2022 01 05 13 30 999 99.0 99.0  1.83 13.33 10.43 235 9999.0   9.3  11.9 999.0 99.0 99.00
2022 01 05 14 00 999 99.0 99.0  1.77 14.29 10.71 235 9999.0   9.5  11.9 999.0 99.0 99.00
2022 01 05 14 30 999 99.0 99.0  1.77 15.38 10.58 236 9999.0   9.4  11.9 999.0 99.0 99.00
