Date,Index
1931-8-21,13.86
1931-8-24,13.75
1931-8-25,13.7
1931-8-26,13.93
1931-8-27,13.85
1931-8-28,13.99
1931-8-31,13.86
1931-9-1,13.92
1931-9-2,13.66
1931-9-3,13.35
1931-9-4,13.29
1931-9-8,12.87
1931-9-9,12.76
1931-9-10,12.62
1931-9-11,12.69
1931-9-14,12.1
1931-9-15,11.99
1931-9-16,11.82
1931-9-17,12.04
1931-9-18,11.46
1931-9-21,10.93
1931-9-22,10.8
1931-9-23,11.52
1931-9-24,10.68
1931-9-25,10.92
1931-9-28,10.5
1931-9-29,10.06
1931-9-30,9.71
1931-10-1,9.53
1931-10-2,9.7
1931-10-5,8.82
1931-10-6,9.91
1931-10-7,9.78
1931-10-8,10.62
1931-10-9,10.55
1931-10-13,10.1
1931-10-14,9.87
1931-10-15,10.05
1931-10-16,10.36
1931-10-19,10.49
1931-10-20,10.96
1931-10-21,10.86
1931-10-22,10.5
1931-10-23,10.84
1931-10-26,10.64
1931-10-27,10.41
1931-10-28,10.07
1931-10-29,10.11
1931-10-30,10.43
1931-11-2,10.5
1931-11-4,10.82
1931-11-5,10.78
1931-11-6,11.11
1931-11-9,11.52
1931-11-10,11.28
1931-11-11,11.11
1931-11-12,11.07
1931-11-13,10.72
1931-11-16,10.43
1931-11-17,10.6
1931-11-18,10.21
1931-11-19,10.16
1931-11-20,9.85
1931-11-23,9.7
1931-11-24,9.87
1931-11-25,9.53
1931-11-27,9.31
1931-11-30,9.5
1931-12-1,9.38
1931-12-2,9.05
1931-12-3,9.22
1931-12-4,9.02
1931-12-7,9.29
1931-12-8,9.02
1931-12-9,8.78
1931-12-10,8.58
1931-12-11,8.31
1931-12-14,8.01
1931-12-15,8.12
1931-12-16,7.93
1931-12-17,7.72
1931-12-18,8.36
1931-12-21,8.15
1931-12-22,8.29
1931-12-23,7.95
1931-12-24,7.96
1931-12-28,7.76
1931-12-29,7.96
1931-12-30,8.1
1931-12-31,8.12
1932-1-4,7.56
1932-1-5,7.55
1932-1-6,8.08
1932-1-7,8.22
1932-1-8,8.57
1932-1-11,8.48
1932-1-12,8.39
1932-1-13,8.8
1932-1-14,8.9
1932-1-15,8.92
1932-1-18,8.51
1932-1-19,8.48
1932-1-20,8.63
1932-1-21,8.58
1932-1-22,8.21
1932-1-25,8.2
1932-1-26,8.31
1932-1-27,8.15
1932-1-28,8.03
1932-1-29,7.94
1932-2-1,8.23
1932-2-2,8.05
1932-2-3,8.09
1932-2-4,8.04
1932-2-5,7.78
1932-2-8,7.62
1932-2-9,7.53
1932-2-10,7.5
1932-2-11,8.12
1932-2-15,8.5
1932-2-16,8.84
1932-2-17,8.48
1932-2-18,8.71
1932-2-19,8.72
1932-2-23,8.22
1932-2-24,8.43
1932-2-25,8.35
1932-2-26,8.34
1932-2-29,8.29
1932-3-1,8.35
1932-3-2,8.71
1932-3-3,8.71
1932-3-4,8.72
1932-3-7,8.82
1932-3-8,8.98
1932-3-9,8.81
1932-3-10,8.73
1932-3-11,8.52
1932-3-14,8.31
1932-3-15,8.31
1932-3-16,8.11
1932-3-17,8.28
1932-3-18,8.02
1932-3-21,8.06
1932-3-22,8.05
1932-3-23,7.94
1932-3-24,7.86
1932-3-28,7.59
1932-3-29,7.58
1932-3-30,7.74
1932-3-31,7.31
1932-4-1,7.18
1932-4-4,7.06
1932-4-5,6.73
1932-4-6,6.53
1932-4-7,6.46
1932-4-8,6.26
1932-4-11,6.07
1932-4-12,6.06
1932-4-13,5.98
1932-4-14,6.25
1932-4-15,6.42
1932-4-18,6.12
1932-4-19,6.03
1932-4-20,6.03
1932-4-21,6.24
1932-4-22,5.96
1932-4-25,6.03
1932-4-26,6.12
1932-4-27,6.27
1932-4-28,6.03
1932-4-29,5.83
1932-5-2,5.74
1932-5-3,5.66
1932-5-4,5.74
1932-5-5,5.68
