Decimal_Year,Index
2015.6876712328767,1942.04
2015.690410958904,1952.29
2015.6931506849314,1961.05
2015.7013698630137,1953.03
2015.704109589041,1978.09
2015.7068493150684,1995.31
2015.7095890410958,1990.2
2015.7123287671234,1958.03
2015.7205479452055,1966.97
2015.7232876712328,1942.74
2015.7260273972602,1938.76
2015.7287671232878,1932.24
2015.731506849315,1931.34
2015.7397260273972,1881.77
2015.7424657534248,1884.09
2015.7452054794521,1920.03
2015.7479452054795,1923.82
2015.7506849315068,1951.36
2015.7589041095891,1987.05
2015.7616438356165,1979.92
2015.7643835616439,1995.83
2015.7671232876712,2013.43
2015.7698630136986,2014.89
2015.7780821917809,2017.46
2015.7808219178082,2003.69
2015.7835616438356,1994.24
2015.786301369863,2023.86
2015.7890410958903,2033.11
2015.7972602739726,2033.66
2015.8,2030.77
2015.8027397260273,2018.94
2015.805479452055,2052.51
2015.8082191780823,2075.15
2015.8164383561643,2071.18
2015.8191780821917,2065.89
2015.8219178082193,2090.35
2015.8246575342466,2089.41
2015.827397260274,2079.36
2015.835616438356,2104.05
2015.8383561643836,2109.79
2015.841095890411,2102.31
2015.8438356164384,2099.93
2015.8465753424657,2099.2
2015.854794520548,2078.58
2015.8575342465754,2081.72
2015.8602739726027,2075.0
2015.86301369863,2045.97
2015.8657534246574,2023.04
2015.8739726027397,2053.19
2015.876712328767,2050.44
2015.8794520547945,2083.58
2015.8821917808218,2081.24
2015.8849315068494,2089.17
2015.8931506849315,2086.59
2015.8958904109588,2089.14
2015.8986301369864,2088.87
2015.9041095890411,2090.11
2015.9123287671232,2080.41
2015.9150684931508,2102.63
2015.9178082191781,2079.51
2015.9205479452055,2049.62
2015.9232876712329,2091.69
2015.9315068493152,2077.07
2015.9342465753425,2063.59
2015.9369863013699,2047.62
2015.9397260273972,2052.23
2015.9424657534246,2012.37
2015.9506849315069,2021.94
2015.9534246575342,2043.41
2015.9561643835616,2073.07
2015.958904109589,2041.89
2015.9616438356165,2005.55
2015.9698630136986,2021.15
2015.972602739726,2038.97
2015.9753424657533,2064.29
2015.978082191781,2060.99
2015.9890410958903,2056.5
2015.9917808219177,2078.36
2015.9945205479453,2063.36
2015.9972602739726,2043.94
2016.0081967213114,2012.66
2016.0109289617487,2016.71
2016.0136612021859,1990.26
2016.016393442623,1943.09
2016.01912568306,1922.03
2016.0273224043715,1923.67
2016.0300546448088,1938.68
2016.032786885246,1890.28
2016.035519125683,1921.84
2016.0382513661202,1880.33
2016.049180327869,1881.33
2016.051912568306,1859.33
2016.0546448087432,1868.99
2016.0573770491803,1906.9
2016.0655737704917,1877.08
2016.068306010929,1903.63
2016.0710382513662,1882.95
2016.0737704918033,1893.36
2016.0765027322404,1940.24
2016.0846994535518,1939.38
2016.0874316939892,1903.03
2016.0901639344263,1912.53
2016.0928961748634,1915.45
2016.0956284153006,1880.05
2016.103825136612,1853.44
2016.1065573770493,1852.21
2016.1092896174864,1851.86
2016.1120218579235,1829.08
2016.1147540983607,1864.78
2016.1256830601094,1895.58
2016.1284153005465,1926.82
2016.1311475409836,1917.83
2016.1338797814208,1917.78
2016.1420765027322,1945.5
2016.1448087431695,1921.27
2016.1475409836066,1929.8
